Fingerprint ID,coordinate_X,coordinate_Y,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
106,-2.0,-1.5,0,0
107,-2.0,-1.5,0,0
108,-2.0,-1.5,0,0
109,-2.0,-1.5,0,0
110,-2.0,-1.5,0,0
111,-2.0,-1.5,0,0
112,-2.0,-1.5,0,0
113,-2.0,-1.5,0,0
114,-2.0,-1.5,0,0
115,-2.0,-1.5,0,0
116,-1.5,-1.5,0,0
117,-1.5,-1.5,0,0
118,-1.5,-1.5,0,0
119,-1.5,-1.5,0,0
120,-1.5,-1.5,0,0
121,-1.5,-1.5,0,0
122,-1.5,-1.5,0,0
123,-1.5,-1.5,0,0
124,-1.5,-1.5,0,0
125,-1.5,-1.5,0,0
126,-1.0,-1.5,0,0
127,-1.0,-1.5,0,0
128,-1.0,-1.5,0,0
129,-1.0,-1.5,0,0
130,-1.0,-1.5,0,0
131,-1.0,-1.5,0,0
132,-1.0,-1.5,0,0
133,-1.0,-1.5,0,0
134,-1.0,-1.5,0,0
135,-1.0,-1.5,0,0
136,-0.5,-1.5,0,0
137,-0.5,-1.5,0,0
138,-0.5,-1.5,0,0
139,-0.5,-1.5,0,0
140,-0.5,-1.5,0,0
141,-0.5,-1.5,0,0
142,-0.5,-1.5,0,0
143,-0.5,-1.5,0,0
144,-0.5,-1.5,0,0
145,-0.5,-1.5,0,0
146,0.0,-1.5,0,0
147,0.0,-1.5,0,0
148,0.0,-1.5,0,0
149,0.0,-1.5,0,0
150,0.0,-1.5,0,0
151,0.0,-1.5,0,0
152,0.0,-1.5,0,0
153,0.0,-1.5,0,0
154,0.0,-1.5,0,0
155,0.0,-1.5,0,0
156,0.0,-1.0,0,0
157,0.0,-1.0,0,0
158,0.0,-1.0,0,0
159,0.0,-1.0,0,0
160,0.0,-1.0,0,0
161,0.0,-1.0,0,0
162,0.0,-1.0,0,0
163,0.0,-1.0,0,0
164,0.0,-1.0,0,0
165,0.0,-1.0,0,0
166,0.0,-0.5,0,0
167,0.0,-0.5,0,0
168,0.0,-0.5,0,0
169,0.0,-0.5,0,0
170,0.0,-0.5,0,0
171,0.0,-0.5,0,0
172,0.0,-0.5,0,0
173,0.0,-0.5,0,0
174,0.0,-0.5,0,0
175,0.0,-0.5,0,0
176,0.0,0.0,0,0
177,0.0,0.0,0,0
178,0.0,0.0,0,0
179,0.0,0.0,0,0
180,0.0,0.0,0,0
181,0.0,0.0,0,0
182,0.0,0.0,0,0
183,0.0,0.0,0,0
184,0.0,0.0,0,0
185,0.0,0.0,0,0
186,0.0,0.5,0,0
187,0.0,0.5,0,0
188,0.0,0.5,0,0
189,0.0,0.5,0,0
190,0.0,0.5,0,0
191,0.0,0.5,0,0
192,0.0,0.5,0,0
193,0.0,0.5,0,0
194,0.0,0.5,0,0
195,0.0,0.5,0,0
196,-0.5,0.5,0,0
197,-0.5,0.5,0,0
198,-0.5,0.5,0,0
199,-0.5,0.5,0,0
200,-0.5,0.5,0,0
201,-0.5,0.5,0,0
202,-0.5,0.5,0,0
203,-0.5,0.5,0,0
204,-0.5,0.5,0,0
205,-0.5,0.5,0,0
206,-1.0,0.5,0,0
207,-1.0,0.5,0,0
208,-1.0,0.5,0,0
209,-1.0,0.5,0,0
210,-1.0,0.5,0,0
211,-1.0,0.5,0,0
212,-1.0,0.5,0,0
213,-1.0,0.5,0,0
214,-1.0,0.5,0,0
215,-1.0,0.5,0,0
216,-1.5,0.5,0,0
217,-1.5,0.5,0,0
218,-1.5,0.5,0,0
219,-1.5,0.5,0,0
220,-1.5,0.5,0,0
221,-1.5,0.5,0,0
222,-1.5,0.5,0,0
223,-1.5,0.5,0,0
224,-1.5,0.5,0,0
225,-1.5,0.5,0,0
226,-2.0,0.5,0,0
227,-2.0,0.5,0,0
228,-2.0,0.5,0,0
229,-2.0,0.5,0,0
230,-2.0,0.5,0,0
231,-2.0,0.5,0,0
232,-2.0,0.5,0,0
233,-2.0,0.5,0,0
234,-2.0,0.5,0,0
235,-2.0,0.5,0,0
241,-1.5,-1.5,0,0
242,0.0,0.0,-80,-81
243,0.0,0.0,-82,-81
244,0.0,0.0,0,0
245,0.0,0.0,0,0
246,0.0,0.0,0,0
247,0.0,0.0,0,0
