Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
4,0.0,0.0,Kitchen,-66,-80,-77,-79,-64,0,0,0,0,0,0,0,0,0,0,-81,-78
5,0.0,0.0,Kitchen,-66,0,-77,0,-65,0,0,0,0,0,0,0,0,0,0,-83,-78
6,0.0,0.0,Kitchen,-67,0,-76,0,-64,-76,0,0,0,0,0,0,0,0,0,-84,-78
7,0.0,0.0,Kitchen,-68,0,-77,0,-64,-76,0,0,0,0,0,0,0,0,0,-83,-77
8,0.0,0.0,Kitchen,-69,0,-77,0,-54,-76,0,0,0,0,0,0,0,0,0,-81,-78
9,0.0,0.0,Kitchen,-69,0,-77,0,-54,-76,0,0,0,0,0,0,0,0,0,-84,-78
10,0.0,0.0,Kitchen,-69,-77,-78,-77,-66,-78,0,0,0,0,0,0,0,0,0,-78,-77
11,0.0,0.0,Kitchen,-67,-77,-78,-77,-66,-78,0,0,0,0,0,0,0,0,0,-82,-77
12,0.0,0.0,Kitchen,-68,-78,-78,-77,-67,-78,0,0,0,0,0,0,0,0,0,-83,-75
13,0.0,0.0,Kitchen,-69,-78,-78,-77,-63,-78,0,0,0,0,0,0,0,0,0,-82,-78
14,0.0,0.0,Kitchen,-67,0,-77,-78,-59,-76,-72,-71,0,0,0,0,0,0,0,-90,-97
15,0.0,0.0,Kitchen,-65,0,-72,-78,-58,-72,-72,-71,0,0,0,0,0,0,0,-90,-88
16,0.0,0.0,Kitchen,-61,0,-65,-78,-57,-73,-64,-71,0,0,0,0,0,0,0,-92,-92
17,0.0,0.0,Kitchen,-61,0,-69,-78,-55,-73,-66,-69,0,0,0,0,0,0,0,-90,-90
18,0.0,0.0,Kitchen,-64,0,-72,0,-55,-73,-66,-69,0,0,0,0,0,0,0,-93,-89
19,0.0,0.0,Kitchen,-61,0,-72,0,-58,-73,-71,-70,0,0,0,0,0,0,0,-91,-91
20,0.0,0.0,Kitchen,-61,0,-72,0,-57,-73,-71,-70,0,0,0,0,0,0,0,-92,-90
