Fingerprint ID,coordinate_X,coordinate_Y,c4:e9:84:42:ac:ff,00:06:91:d4:77:00,00:06:91:d4:77:02,8c:5b:f0:78:a1:d6,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,00:26:5b:d1:93:38,00:26:5b:d1:93:39,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3,E1:E9:C3:D9:09:C3
524,-2.0,0.5,-69,-68,-69,-72,-73,-72,0,0,0,0,0,0,-87,-90,-83
525,-2.0,0.5,-70,-66,-66,-70,-73,-72,0,0,0,0,0,0,-88,-87,-76
526,-2.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,-2.0,0.5,-65,-66,-66,-70,0,-68,0,0,0,0,0,0,-86,-87,-81
528,-2.0,0.5,-66,-66,-66,-71,0,-68,0,0,0,0,0,0,-92,-91,0
529,-2.0,0.5,-65,-63,-64,-71,0,-68,0,0,0,0,0,0,-87,-89,0
530,-2.0,0.5,-66,-63,-64,-71,0,-68,0,0,0,0,0,0,-88,-94,-82
531,-2.0,0.5,-67,-63,-64,-71,-72,0,0,0,0,0,0,0,-86,-93,-82
532,-2.0,0.5,-66,-63,-64,-67,-72,0,0,0,0,0,0,0,-88,-91,-76
533,-2.0,0.5,-66,-65,-64,-68,-72,0,0,0,0,0,0,0,-87,-92,0
534,-1.5,0.5,-67,-62,-61,-69,-68,-67,-77,-75,0,0,0,0,-83,-87,-77
535,-1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,-1.5,0.5,-65,-60,-60,-67,-71,-71,-77,-76,0,0,0,0,-86,-85,0
537,-1.5,0.5,-66,-60,-60,-67,-73,-74,-77,-76,0,0,0,0,-83,-86,0
538,-1.5,0.5,-66,-60,-60,-67,-73,-75,-77,-76,0,0,0,0,-82,-83,0
539,-1.5,0.5,-65,-61,-61,-67,-73,-75,-77,-76,0,0,0,0,-86,-84,-78
540,-1.5,0.5,-64,-61,-61,-67,-73,-75,-76,-76,0,0,0,0,-86,-86,0
541,-1.5,0.5,-65,-60,-60,-67,-69,-75,-76,-76,0,0,0,0,-88,-88,0
542,-1.5,0.5,-65,-63,-60,0,-69,0,-76,0,0,0,0,0,-86,-87,0
543,-1.5,0.5,-65,-60,-60,-67,-69,0,-76,0,0,0,0,0,-87,-83,0
544,-1.0,0.5,-73,-62,-61,-74,-73,-72,-80,-79,-80,-80,0,0,-80,-83,0
545,-1.0,0.5,-76,-58,-58,-68,-72,-72,-76,-79,-80,-80,0,0,-91,-83,0
546,-1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,-1.0,0.5,-74,-58,-58,-67,-68,-72,-75,-76,0,0,0,0,-82,-83,0
548,-1.0,0.5,-74,-58,-58,-66,-68,-72,-75,-76,0,0,0,0,-81,-87,0
549,-1.0,0.5,-74,-60,-60,-66,-68,-72,-75,-76,0,0,0,0,-82,-84,0
550,-1.0,0.5,-74,-58,-59,-66,-68,0,-76,-76,0,0,0,0,-81,-84,0
551,-1.0,0.5,-74,-58,-59,-66,0,0,-77,-77,0,0,0,0,-82,-82,-79
552,-1.0,0.5,-74,-58,-59,-66,0,0,-77,-77,0,0,0,0,-81,-87,0
553,-1.0,0.5,-74,-58,-59,0,0,0,0,-77,0,0,0,0,-81,-85,0
554,-0.5,0.5,-63,-68,-69,-70,0,0,0,0,0,0,0,0,-87,-85,0
555,-0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,-0.5,0.5,-65,-68,-68,-69,-67,-67,0,0,0,0,0,0,-87,-87,0
557,-0.5,0.5,-62,-68,-68,-64,-67,-67,0,0,0,0,0,0,-84,-86,0
558,-0.5,0.5,-62,-68,-68,-64,-67,-68,0,0,0,0,0,0,-89,-86,0
