coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-46,-47.6,Personal
0.0,0.0,-47,-47.5,Personal
0.0,0.0,-46,-47.285714285714285,Personal
0.0,0.0,-46,-47.125,Personal
0.0,0.0,-46,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-46,-46.94444444444444,Personal
0.0,0.0,-46,-46.89473684210526,Personal
0.0,0.0,-47,-46.9,Personal
0.0,0.0,-47,-46.904761904761905,Personal
0.0,0.0,-48,-46.95454545454545,Personal
0.0,0.0,-47,-46.95652173913044,Personal
0.0,0.0,-50,-47.083333333333336,Personal
0.0,0.0,-51,-47.24,Personal
0.0,0.0,-50,-47.34615384615385,Personal
0.0,0.0,-50,-47.44444444444444,Personal
0.0,0.0,-50,-47.535714285714285,Personal
0.0,0.0,-50,-47.62068965517241,Personal
0.0,0.0,-50,-50.0,Personal
0.0,0.0,-50,-50.0,Personal
0.0,0.0,-51,-50.333333333333336,Personal
0.0,0.0,-51,-50.5,Personal
0.0,0.0,-50,-50.4,Personal
0.0,0.0,-50,-50.333333333333336,Personal
0.0,0.0,-51,-50.42857142857143,Personal
0.0,0.0,-51,-50.5,Personal
0.0,0.0,-51,-50.55555555555556,Personal
0.0,0.0,-50,-50.5,Personal
0.0,0.0,-50,-50.45454545454545,Personal
0.0,0.0,-51,-50.5,Personal
0.0,0.0,-50,-50.46153846153846,Personal
0.0,0.0,-50,-50.42857142857143,Personal
0.0,0.0,-50,-50.4,Personal
0.0,0.0,-50,-50.375,Personal
0.0,0.0,-50,-50.35294117647059,Personal
0.0,0.0,-50,-50.333333333333336,Personal
0.0,0.0,-50,-50.31578947368421,Personal
0.0,0.0,-51,-50.35,Personal
0.0,0.0,-48,-50.23809523809524,Personal
0.0,0.0,-47,-50.09090909090909,Personal
0.0,0.0,-48,-50.0,Personal
0.0,0.0,-48,-49.916666666666664,Personal
0.0,0.0,-47,-49.8,Personal
0.0,0.0,-48,-49.73076923076923,Personal
0.0,0.0,-48,-49.666666666666664,Personal
0.0,0.0,-47,-49.57142857142857,Personal
0.0,0.0,-48,-49.51724137931034,Personal
0.0,0.0,-48,-49.46666666666667,Personal
0.0,0.0,-48,-49.41935483870968,Personal
0.0,0.0,-48,-49.375,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
