coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi
0.0,0.5,-75,-75.0
0.0,0.5,-76,-75.5
0.0,0.5,-75,-75.33333333333333
0.0,0.5,-74,-75.0
0.0,0.5,-76,-75.2
0.0,0.5,-75,-75.0
0.0,0.5,-75,-75.0
0.0,0.5,-75,-75.0
0.0,0.5,-74,-74.75
0.0,0.5,-76,-76.0
0.0,0.5,-78,-77.0
0.0,0.5,-76,-76.66666666666667
0.0,0.5,-75,-76.25
0.0,0.5,-75,-76.0
0.0,0.5,-75,-75.0
0.0,0.5,-76,-75.5
0.0,0.5,-74,-75.0
0.0,0.5,-75,-75.0
0.0,0.5,-76,-76.0
0.0,0.5,-75,-75.5
0.0,0.5,-75,-75.33333333333333
0.0,0.5,-74,-75.0
0.0,0.5,-75,-75.0
0.0,0.5,-78,-78.0
0.0,0.5,-76,-77.0
0.0,0.5,-76,-76.66666666666667
0.0,0.5,-75,-76.25
0.0,0.5,-78,-78.0
0.0,0.5,-75,-76.5
0.0,0.5,-73,-75.33333333333333
0.0,0.5,-73,-74.75
0.0,0.5,-75,-74.8
0.0,0.5,-78,-78.0
0.0,0.5,-77,-77.5
0.0,0.5,-74,-76.33333333333333
0.0,0.5,-77,-76.5
0.0,0.5,-77,-77.0
0.0,0.5,-75,-76.0
0.0,0.5,-78,-76.66666666666667
0.0,0.5,-82,-78.0
0.0,0.5,-75,-77.4
0.0,0.5,-79,-79.0
0.0,0.5,-81,-80.0
0.0,0.5,-73,-77.66666666666667
0.0,0.5,-75,-77.0
0.0,0.5,-75,-75.0
0.0,0.5,-75,-75.0
0.0,0.5,-77,-75.66666666666667
0.0,0.5,-87,-78.5
0.0,0.5,-78,-78.4
0.0,0.5,-76,-78.0
0.0,0.5,-75,-77.57142857142857
0.0,0.5,-74,-77.125
0.0,0.5,-83,-77.77777777777777
0.0,1.0,-76,-76.0
0.0,1.0,-76,-76.0
0.0,1.0,-80,-77.33333333333333
0.0,1.0,-81,-78.25
0.0,1.0,-84,-79.4
0.0,1.0,-78,-78.0
0.0,1.0,-78,-78.0
0.0,1.0,-90,-82.0
0.0,1.0,-78,-81.0
0.0,1.0,-80,-80.0
0.0,1.0,-76,-78.0
0.0,1.0,-76,-77.33333333333333
0.0,1.0,-77,-77.25
0.0,1.0,-76,-76.0
0.0,1.0,-77,-76.5
0.0,1.0,-77,-76.66666666666667
0.0,1.0,-78,-77.0
0.0,1.0,-79,-77.4
0.0,1.0,-79,-79.0
0.0,1.0,-81,-80.0
0.0,1.0,-84,-81.33333333333333
0.0,1.0,-84,-84.0
0.0,1.0,-81,-82.5
0.0,1.0,-87,-84.0
0.0,1.0,-87,-84.75
0.0,1.0,-83,-84.4
0.0,1.0,-85,-85.0
0.0,1.0,-92,-92.0
0.0,1.0,-92,-92.0
0.0,1.0,-89,-91.0
0.0,1.0,-86,-89.75
0.0,1.0,-80,-80.0
0.0,1.0,-83,-81.5
0.0,1.0,-88,-83.66666666666667
0.0,1.0,-87,-84.5
0.0,1.0,-86,-86.0
0.0,1.0,-83,-84.5
0.0,1.0,-87,-85.33333333333333
0.0,1.0,-86,-86.0
0.0,1.0,-87,-86.5
0.0,1.0,-88,-87.0
0.0,1.0,-80,-85.25
0.0,1.0,-85,-85.2
0.0,1.0,-81,-84.5
0.0,1.5,-81,-81.0
0.0,1.5,-78,-79.5
0.0,1.5,-78,-79.0
0.0,1.5,-83,-80.0
0.0,1.5,-80,-80.0
0.0,1.5,-80,-80.0
0.0,1.5,-79,-79.66666666666667
0.0,1.5,-79,-79.5
0.0,1.5,-78,-78.0
0.0,1.5,-78,-78.0
0.0,1.5,-78,-78.0
