coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-50,-50.0,0-1 meters
0.0,0.0,-50,-50.0,0-1 meters
0.0,0.0,-53,-51.0,0-1 meters
0.0,0.0,-51,-51.0,0-1 meters
0.0,0.0,-53,-53.0,0-1 meters
0.0,0.0,-52,-52.5,0-1 meters
0.0,0.0,-55,-53.333333333333336,0-1 meters
0.0,0.0,-55,-53.75,0-1 meters
0.0,0.0,-53,-53.6,0-1 meters
0.0,0.0,-55,-55.0,0-1 meters
0.0,0.0,-53,-54.0,0-1 meters
0.0,0.0,-54,-54.0,0-1 meters
0.0,0.0,-56,-54.5,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-55,-56.333333333333336,0-1 meters
0.0,0.0,-55,-56.0,0-1 meters
0.0,0.0,-56,-56.0,0-1 meters
0.0,0.0,-54,-54.0,0-1 meters
0.0,0.0,-56,-55.0,0-1 meters
0.0,0.0,-55,-55.0,0-1 meters
0.0,0.0,-57,-55.5,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-56,-56.5,0-1 meters
0.0,0.0,-57,-56.666666666666664,0-1 meters
0.0,0.0,-57,-56.75,0-1 meters
0.0,0.0,-57,-56.8,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-60,-57.75,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-59,-58.0,0-1 meters
0.0,0.0,-59,-58.333333333333336,0-1 meters
0.0,0.0,-57,-58.0,0-1 meters
0.0,0.0,-57,-57.8,0-1 meters
0.0,0.0,-57,-57.0,0-1 meters
0.0,0.0,-56,-56.5,0-1 meters
0.0,0.0,-58,-57.0,0-1 meters
0.0,0.0,-61,-58.0,0-1 meters
0.0,0.0,-60,-60.0,0-1 meters
0.0,0.0,-58,-59.0,0-1 meters
0.0,0.0,-60,-59.333333333333336,0-1 meters
0.0,0.0,-58,-59.0,0-1 meters
0.0,0.0,-57,-58.6,0-1 meters
0.0,0.0,-56,-56.0,0-1 meters
0.0,0.0,-59,-57.5,0-1 meters
0.0,0.0,-59,-58.0,0-1 meters
0.0,0.0,-56,-57.5,0-1 meters
0.0,0.5,-72,-72.0,0-1 meters
0.0,0.5,-75,-73.5,0-1 meters
0.0,0.5,-70,-72.33333333333333,0-1 meters
0.0,0.5,-71,-72.0,0-1 meters
0.0,0.5,-73,-72.2,0-1 meters
0.0,0.5,-65,-65.0,0-1 meters
0.0,0.5,-72,-68.5,0-1 meters
0.0,0.5,-72,-69.66666666666667,0-1 meters
0.0,0.5,-71,-70.0,0-1 meters
0.0,0.5,-66,-69.2,0-1 meters
0.0,0.5,-72,-72.0,0-1 meters
0.0,0.5,-72,-72.0,0-1 meters
0.0,0.5,-70,-71.33333333333333,0-1 meters
0.0,0.5,-69,-70.75,0-1 meters
0.0,0.5,-71,-71.0,0-1 meters
0.0,0.5,-71,-71.0,0-1 meters
0.0,0.5,-72,-71.33333333333333,0-1 meters
0.0,0.5,-73,-71.75,0-1 meters
0.0,0.5,-72,-72.0,0-1 meters
0.0,0.5,-72,-72.0,0-1 meters
0.0,0.5,-70,-71.33333333333333,0-1 meters
0.0,0.5,-70,-71.0,0-1 meters
0.0,0.5,-70,-70.8,0-1 meters
0.0,0.5,-69,-69.0,0-1 meters
0.0,0.5,-72,-70.5,0-1 meters
0.0,0.5,-70,-70.33333333333333,0-1 meters
0.0,0.5,-70,-70.25,0-1 meters
0.0,0.5,-71,-71.0,0-1 meters
0.0,0.5,-68,-69.5,0-1 meters
0.0,0.5,-68,-69.0,0-1 meters
0.0,0.5,-68,-68.75,0-1 meters
0.0,0.5,-68,-68.6,0-1 meters
0.0,0.5,-70,-70.0,0-1 meters
0.0,0.5,-68,-69.0,0-1 meters
0.0,0.5,-67,-68.33333333333333,0-1 meters
0.0,0.5,-67,-68.0,0-1 meters
0.0,0.5,-67,-67.0,0-1 meters
0.0,0.5,-67,-67.0,0-1 meters
0.0,0.5,-68,-67.33333333333333,0-1 meters
0.0,0.5,-68,-67.5,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-68,-68.0,0-1 meters
0.0,0.5,-67,-67.5,0-1 meters
0.0,0.5,-70,-68.33333333333333,0-1 meters
0.0,0.5,-68,-68.25,0-1 meters
0.0,0.5,-68,-68.2,0-1 meters
0.0,0.5,-71,-68.66666666666667,0-1 meters
0.0,0.5,-66,-68.28571428571429,0-1 meters
0.0,0.5,-72,-68.75,0-1 meters
0.0,0.5,-74,-69.33333333333333,0-1 meters
0.0,1.0,-76,-76.0,0-1 meters
0.0,1.0,-85,-80.5,0-1 meters
0.0,1.0,-85,-82.0,0-1 meters
0.0,1.0,-86,-83.0,0-1 meters
0.0,1.0,-80,-82.4,0-1 meters
0.0,1.0,-90,-90.0,0-1 meters
0.0,1.0,-83,-86.5,0-1 meters
0.0,1.0,-79,-84.0,0-1 meters
0.0,1.0,-75,-81.75,0-1 meters
0.0,1.0,-81,-81.0,0-1 meters
0.0,1.0,-83,-82.0,0-1 meters
0.0,1.0,-79,-81.0,0-1 meters
0.0,1.0,-77,-80.0,0-1 meters
0.0,1.0,-75,-79.0,0-1 meters
