Fingerprint ID,coordinate_X,coordinate_Y,zone,f0:5c:19:94:1a:40,f0:5c:19:94:1a:41,f0:5c:19:94:1a:42,34:fc:b9:18:e4:c1,34:fc:b9:18:e4:c0,34:fc:b9:18:e4:c2,f0:5c:19:94:1a:50,f0:5c:19:94:1a:51,f0:5c:19:94:1a:52,4c:ed:fb:5a:5c:0c,4c:ed:fb:5a:5c:08,f0:5c:19:94:19:e1,f0:5c:19:94:19:e2,34:fc:b9:18:e8:21,34:fc:b9:18:e8:22,34:fc:b9:18:e8:20,f0:5c:19:94:19:e0,34:fc:b9:18:e4:d2,48:ee:0c:ed:93:b5,34:fc:b9:18:e4:d0,34:fc:b9:18:e4:d1,34:fc:b9:18:e8:30,34:fc:b9:18:e8:32,10:7b:44:eb:73:98,f0:5c:19:94:19:f2,f0:5c:19:94:19:f0,34:fc:b9:18:e7:21,34:fc:b9:18:e7:22,34:fc:b9:18:e7:20,f0:5c:19:94:19:f1,E1:E9:C3:D9:09:C3,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
265,1.0,3.0,Personal,-62,-65,-63,-76,-78,-79,-80,-80,-80,-89,-81,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-88,-96
266,1.0,3.0,Personal,-62,-61,-62,-77,-78,-78,-80,-81,-80,-90,-79,-89,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-88,-96
267,1.0,3.0,Personal,-63,-62,-62,0,0,0,-80,-79,-80,-90,-84,-87,-86,-78,-87,-88,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-92,-98
268,1.0,3.0,Personal,-63,-61,-63,0,0,0,-81,-81,-81,-90,-83,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-89,-96
269,1.0,3.0,Personal,-63,-61,-63,-76,-78,-78,-80,-80,-81,-90,-82,-89,-89,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-89,-93
270,1.0,3.0,Personal,-60,-61,-60,-78,-79,0,-80,-81,-80,-90,-83,-89,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-89,-94
271,1.0,3.0,Personal,-61,-62,-62,0,0,0,-80,-81,-80,-89,-81,-88,-91,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,-85,-89,-96
272,1.0,3.0,Personal,-62,-61,-61,-77,-78,-79,-81,-80,-80,-89,-81,-89,-86,0,0,0,-87,-92,0,0,0,0,0,0,0,0,0,0,0,0,-87,-91,-93
273,1.0,3.0,Personal,-63,-61,-62,0,0,0,-80,-80,-80,-90,-81,-89,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-89,-97
274,1.0,3.0,Personal,-63,-61,-62,0,0,0,-80,-80,-80,-90,-80,-89,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-90,-91
