,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:15:f9:6c:7d:72,00:15:f9:6c:7d:70,00:15:f9:6c:7d:71,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:17:df:7d:70:51,00:17:df:7d:70:50,00:17:df:7d:70:52,88:e3:ab:11:f4:ee,00:11:21:66:75:80,00:11:21:66:75:82,00:11:21:66:75:81,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
0,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,0,1.46186E+12,-71,-71,-71,-71,-71,-70,,,-87,,,,-90,-90,-89,,,,,,,,,,,,,,,,,,,,,,,,
1,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,1,1.46186E+12,-58,-58,-58,-72,-69,-69,,-88,-87,,,,-87,-89,-89,,,,,,,,,,,,,,,,,,,,,,,,
2,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,2,1.46186E+12,-61,-61,-61,-68,-68,-68,,-88,,,,,-87,-89,-89,,,,,,,,,,,,,,,,,,,,,,,,
3,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,3,1.46186E+12,-64,-65,-65,-69,-70,-70,,,,,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,
4,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,1.46186E+12,-65,-65,-65,-69,-69,-69,-87,,,,,,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,
5,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,1.46186E+12,-63,-63,-62,-69,-69,-69,-87,,,,,,-88,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,
6,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,1.46186E+12,-61,-62,-62,-71,-71,-71,,,,,,,,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,
7,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,1.46186E+12,-62,-61,-61,-69,-69,-69,,,,,,,-88,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,
8,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,1.46186E+12,-61,-61,-61,-69,-69,-69,,,,,,,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,
9,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,1.46186E+12,-60,-58,-60,-69,-69,-69,,,,,,,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,
10,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,1.46186E+12,-58,-58,-58,-69,-70,-69,,,,,,,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,
11,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,1.46186E+12,-58,-59,-59,-69,-70,-70,,,,,,,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,
12,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,1.46186E+12,-58,-58,-58,-69,-70,-70,,,,,,,-87,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,
13,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,1.46186E+12,-58,-57,-58,-69,-70,-70,,,,,,,-87,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,
14,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,1.46186E+12,-58,-58,-58,-70,-70,-69,,,,,,,-87,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,
15,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,1.46186E+12,-57,-58,-58,-71,-71,-71,,,,,,,-88,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,
16,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,1.46186E+12,-58,-58,-58,-70,-70,-69,,,,,,,-88,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,
17,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,1.46186E+12,-58,-57,-58,-69,-70,-70,,,,,,,-89,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,
18,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,1.46186E+12,-57,-58,-57,-70,-70,-70,,,,,,,-89,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,
19,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,1.46186E+12,-57,-57,-57,-69,-69,-69,,,,,,,-87,-87,-89,,,,,,,,,,,,,,,,,,,,,,,,
20,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,67.595184,0,1.46187E+12,-62,-62,-62,-69,-69,-69,-74,-72,-75,-78,-79,-78,,,,,,-84,-88,-87,-87,,,,,,,,,,,,,,,,,,
21,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,1,1.46187E+12,-61,-61,-60,-70,-70,-70,-81,-82,-82,-87,-79,-87,,,,,,-87,-89,-87,-87,,,,,,,,,,,,,,,,,,
22,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,2,1.46187E+12,-58,-58,-58,-72,-72,-70,-71,-69,-71,-82,-81,-81,,,,,-87,-87,-89,-88,-88,,,,,,,,,,,,,,,,,,
23,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,3,1.46187E+12,-58,-57,-58,-70,-70,-70,-72,-73,-72,-81,-81,-82,,,,,-87,-87,-89,-88,-88,,,,,,,,,,,,,,,,,,
24,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,4,1.46187E+12,-62,-63,-62,-68,-68,-69,-72,-73,-72,-79,-81,-79,,,,,-86,-87,-87,-89,-90,,,,,,,,,,,,,,,,,,
25,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,5,1.46187E+12,-53,-53,-53,-70,-70,-70,-70,-72,-72,-82,-80,-82,,,,,-86,-86,-87,-89,-90,,,,,,,,,,,,,,,,,,
26,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,6,1.46187E+12,-54,-54,-55,-71,-70,-70,-72,-72,-72,-80,-80,-80,,,,,,-86,-86,,,-90,,,,,,,,,,,,,,,,,
27,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,7,1.46187E+12,-54,-55,-55,-70,-70,-70,-72,-71,-70,-81,-80,-81,,,,,,-86,-86,-88,-89,-90,,,,,,,,,,,,,,,,,
28,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,8,1.46187E+12,-55,-55,-56,-71,-71,-71,-69,-73,-72,-82,-79,-83,,,,,,,-88,-86,-90,-88,,,,,,,,,,,,,,,,,
29,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,9,1.46187E+12,-56,-57,-57,-71,-71,-70,-75,-74,-73,-80,-80,-80,,,,,-86,-85,-86,-88,-89,-88,,,,,,,,,,,,,,,,,
30,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,10,1.46187E+12,-63,-67,-67,-66,-67,-68,-68,-71,-70,-83,-83,-84,,,,,-86,-86,-86,-88,-88,,,,,,,,,,,,,,,,,,
31,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,11,1.46187E+12,-56,-56,-56,-68,-68,-68,-72,-70,-71,-83,-80,-84,,,,,-87,-86,-87,-90,-90,,,,,,,,,,,,,,,,,,
