,x,y,x_predicted,y_predicted,error
0,0.25,0.75,2.25,0.75,2.0
1,0.25,0.75,2.2500000000000004,0.7500000000000001,2.0000000000000004
2,0.25,0.75,2.25,0.75,2.0
3,0.25,0.75,2.2499999999999996,0.75,1.9999999999999996
4,0.25,0.75,2.2500000000000004,0.75,2.0000000000000004
5,0.25,0.75,2.2500000000000004,0.7500000000000001,2.0000000000000004
6,0.25,0.75,2.2499999999999996,0.75,1.9999999999999996
7,0.25,0.75,2.2500000000000004,0.75,2.0000000000000004
8,0.25,0.75,2.25,0.75,2.0
9,0.25,0.75,2.25,0.75,2.0
0,2.25,0.75,5.085267991670498,0.75,2.8352679916704977
1,2.25,0.75,5.866187937158502,0.7500000000000001,3.616187937158502
2,2.25,0.75,5.078876966697433,0.75,2.8288769666974334
3,2.25,0.75,5.52096467202242,0.75,3.27096467202242
4,2.25,0.75,0.25,0.7499999999999998,2.0
5,2.25,0.75,5.25348051834525,0.7499999999999999,3.00348051834525
6,2.25,0.75,5.642394307391689,0.7499999999999998,3.3923943073916893
7,2.25,0.75,2.9223560621713114,0.75,0.6723560621713114
8,2.25,0.75,4.695394797250792,0.7499999999999999,2.445394797250792
9,2.25,0.75,5.549431247734565,0.75,3.2994312477345646
10,2.25,0.75,5.1561862677705586,0.75,2.9061862677705586
0,4.25,0.75,4.853455468648542,0.7499999999999999,0.6034554686485416
1,4.25,0.75,4.191197129564015,0.7499999999999999,0.058802870435984644
2,4.25,0.75,6.250000000000001,0.7499999999999999,2.000000000000001
3,4.25,0.75,3.8729590789705792,0.75,0.3770409210294208
4,4.25,0.75,0.6618292235424206,0.75,3.5881707764575794
5,4.25,0.75,7.762267349813339,0.7500000000000001,3.5122673498133388
6,4.25,0.75,6.25,0.75,2.0
7,4.25,0.75,3.839398775080994,0.7500000000000001,0.41060122491900586
8,4.25,0.75,6.25,0.75,2.0
9,4.25,0.75,5.601419718847423,0.7499999999999999,1.3514197188474233
0,6.25,0.75,7.824665348694798,0.75,1.574665348694798
1,6.25,0.75,4.976323219415648,0.75,1.2736767805843519
2,6.25,0.75,6.696859465195918,0.7500000000000001,0.4468594651959181
3,6.25,0.75,7.515514685422715,0.7499999999999999,1.2655146854227146
4,6.25,0.75,4.255626863976105,0.7499999999999999,1.9943731360238948
5,6.25,0.75,6.64483672704515,0.75,0.39483672704515005
6,6.25,0.75,7.031063408471917,0.75,0.7810634084719172
7,6.25,0.75,9.109120621170351,0.7500000000000001,2.8591206211703515
8,6.25,0.75,4.249999999999999,0.7499999999999999,2.000000000000001
9,6.25,0.75,8.403416778376739,0.7500000000000001,2.153416778376739
10,6.25,0.75,3.888825906925876,0.7499999999999999,2.361174093074124
0,8.25,0.75,6.7388954216217565,0.7500000000000001,1.5111045783782435
1,8.25,0.75,10.25,0.7499999999999999,2.0
2,8.25,0.75,10.25,0.75,2.0
3,8.25,0.75,10.249999999999998,0.7499999999999999,1.9999999999999982
4,8.25,0.75,7.420195679639539,0.7500000000000001,0.829804320360461
5,8.25,0.75,10.617763133011248,0.7499999999999999,2.3677631330112483
6,8.25,0.75,9.14815632102837,0.75,0.8981563210283703
7,8.25,0.75,10.250000000000004,0.75,2.0000000000000036
8,8.25,0.75,10.250000000000002,0.7500000000000001,2.0000000000000018
9,8.25,0.75,10.250000000000002,0.7500000000000001,2.0000000000000018
10,8.25,0.75,10.629243328503447,0.75,2.3792433285034473
11,8.25,0.75,3.8358065521867575,0.7500000000000001,4.4141934478132425
