,k,weights,mae,rmse,sd,p50,p75,p90,p95,min,max
0,1,uniform,0.13428571428571429,0.6969320524371696,0.6843615309826382,0.0,0.0,0.0,0.0,0.0,8.0
1,1,distance,0.1342857142857144,0.6969320524371696,0.6843615309826382,0.0,0.0,1.7763568394002505e-15,7.11636133360272e-15,0.0,8.0
2,2,uniform,0.1457142857142857,0.6047431568147635,0.5873452590262652,0.0,0.0,0.0,1.0,0.0,6.0
3,2,distance,0.14392972866453563,0.6014945850881966,0.5844381261289147,8.95090418262362e-16,2.5121479338940403e-15,7.32410687763558e-15,1.0105073772197835,0.0,6.0
4,3,uniform,0.1933333333333333,0.621825270205921,0.5914292746137375,0.0,0.0,0.6666666666666679,1.333333333333333,0.0,6.0
5,3,distance,0.18459180467417932,0.6044631878321177,0.5759996321180678,1.7763568394002505e-15,3.553147253842044e-15,0.6519058828996166,1.3203934758035685,0.0,6.0
6,4,uniform,0.2292857142857143,0.6422616289332564,0.6003690363160115,0.0,0.0,1.0,1.0,0.0,6.0
7,4,distance,0.21417925067594243,0.616732672086875,0.5787615733348073,1.7763568394002505e-15,7.105427357601002e-15,0.8077637998221652,1.0435611294218416,0.0,6.0
8,5,uniform,0.2615946110943099,0.661016533184199,0.6074852378296633,0.0,0.3999999999999986,0.8000000000000007,1.5999999999999996,0.0,5.2
9,5,distance,0.2420697841396984,0.6302889630614408,0.5823666352447229,1.7798229048217483e-15,0.3047222412598418,0.7569688207849552,1.2509976061197758,0.0,5.229685303629326
10,6,uniform,0.2946621759119251,0.6901374374279968,0.6245166591580342,0.0,0.33333333333333304,1.0,1.666666666666666,0.0,5.333333333333333
11,6,distance,0.2716709927655555,0.6559230022215901,0.5974443660216466,3.552713678800501e-15,0.29865502722105,0.880027719409891,1.5618882447075408,0.0,5.345982157314213
12,7,uniform,0.33743888230029356,0.7155091563143545,0.631393589385351,0.0,0.5714285714285694,1.1428571428571423,1.7142857142857153,0.0,5.428571428571429
13,7,distance,0.30578467177146873,0.6754633529425524,0.6027150456782986,3.972054645195637e-15,0.40816047611975836,0.8662580928945739,1.4647865424518507,0.0,5.430794162198888
14,8,uniform,0.37905579193637867,0.7235206582103533,0.6167188950000879,0.0,0.5,1.0,1.5,0.0,5.0
15,8,distance,0.3397567072466385,0.6796159332645869,0.5890151301271979,0.07330858019171593,0.44655352540345916,0.9833874341383274,1.5268816741437918,0.0,5.037285002114095
16,9,uniform,0.42158322958984246,0.7540367554512362,0.6256182137001209,0.22222222222222143,0.6666666666666643,1.1111111111111143,1.566666666666658,0.0,5.111111111111111
17,9,distance,0.3746590568036057,0.7051700483171588,0.5978343986031261,0.166962289507409,0.4980781392596225,1.0117002996514757,1.5443665042555166,0.0,5.136222407791991
18,10,uniform,0.4672956239543581,0.7910887614998912,0.6387794153412943,0.20000000000000018,0.6000000000000014,1.2000000000000002,1.6000000000000014,0.0,5.2
19,10,distance,0.40914129435014135,0.7323611015379564,0.6078519709729389,0.18216001848750096,0.5445430994173144,1.0272071445630226,1.5047709872497117,0.0,5.216699712518363
