,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:15:f9:6c:7d:71,00:17:df:7d:70:52,00:17:df:7d:70:50,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,88:e3:ab:11:f4:ee,00:11:21:66:75:81,00:11:21:66:75:80,00:11:21:66:75:82,00:12:da:9e:32:31,00:12:da:9e:32:32,00:12:da:9e:32:30,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
0,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,0,1461864822344,-71.0,-71.0,-71.0,-71.0,-71.0,-70.0,-90.0,-87.0,-89.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,1,1461864822344,-58.0,-58.0,-58.0,-72.0,-69.0,-69.0,-87.0,-87.0,-89.0,-89.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,2,1461864822344,-61.0,-61.0,-61.0,-68.0,-68.0,-68.0,-87.0,,-89.0,-89.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,3,1461864822344,-64.0,-65.0,-65.0,-69.0,-70.0,-70.0,-87.0,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,1461864822344,-65.0,-65.0,-65.0,-69.0,-69.0,-69.0,-88.0,,,-88.0,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,1461864822344,-63.0,-63.0,-62.0,-69.0,-69.0,-69.0,-88.0,,-89.0,-88.0,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,1461864822344,-61.0,-62.0,-62.0,-71.0,-71.0,-71.0,,,-89.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,1461864822344,-62.0,-61.0,-61.0,-69.0,-69.0,-69.0,-88.0,,-89.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,1461864822344,-61.0,-61.0,-61.0,-69.0,-69.0,-69.0,-87.0,,-87.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,1461864822344,-60.0,-58.0,-60.0,-69.0,-69.0,-69.0,-87.0,,-87.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
